campaign,ad_group,keyword,match_type,max_cpt_usd,rationale
DLS-US-Category-Exact,Crime-Underground,hacker simulator,EXACT,0.70,Adjacent; the computer/dark web screens support the promise
DLS-US-Category-Exact,Crime-Underground,money laundering game,EXACT,0.60,Exact match to a named in-game system
DLS-US-Category-Exact,Crime-Underground,underworld game,EXACT,0.55,Long tail
DLS-US-Category-Exact,Choices-Story,choices game,EXACT,0.85,Genre-adjacent with large volume
DLS-US-Category-Exact,Choices-Story,life choices simulator,EXACT,0.80,Precise fit
DLS-US-Category-Exact,Choices-Story,choice based game,EXACT,0.75,Genre phrasing
DLS-US-Category-Exact,Choices-Story,decision game,EXACT,0.70,Genre phrasing
DLS-US-Category-Exact,Choices-Story,interactive story game,EXACT,0.75,Adjacent genre; expect lower CR — monitor
DLS-US-Category-Exact,Choices-Story,text based game,EXACT,0.70,Format match
DLS-US-Category-Exact,Choices-Story,story simulator,EXACT,0.65,Long tail
DLS-US-Category-Exact,Choices-Story,choose your own adventure game,EXACT,0.70,Adjacent genre
